id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
39gtHuJRIWxzgDjKIZt5FC,Babylon,Love In The Time Of Lexapro,"[""Oneohtrix Point Never"", ""Alex G""]",2018,Electronic,40,Calm,english,1.5049743234249802
5eVtAVl6aJjnUBATObOXBG,"Bach, JS: Herz und Mund und Tat und Leben, BWV 147: Chorale. ""Jesu, Joy of Man's Desiring"" (Arr. Balsom for Trumpet, Choir and Organ)","Jubilo - Fasch, Corelli, Torelli & Bach","[""Johann Sebastian Bach"", ""Alison Balsom"", ""Tom Etheridge"", ""Choir of King's College, Cambridge"", ""Stephen Cleobury""]",2016,Classical,33,Calm,english,2.4341532364635854
7Eles2wtDyJX8TsykmQESG,Back Home Again,Take Me Home: A Tribute To John Denver,"[""Low""]",2004,Rock,8,Calm,english,0.8023321958217938
5c3LEQ9imCHLkqXnxY2Gpf,Back Porch,Bufo Alvarius,"[""Bardo Pond""]",2010,Rock,0,Calm,english,2.858525210036304
7mJSUy5aoaNiFUbqjt3YMw,Back Shredder,AVVOLGERE,"[""True Widow""]",2016,Rock,25,Calm,english,3.4987198085506783
6E59ljVX0peiUOd3yvNAxC,Back To The Rivers Of Belief: Way To Eternity / Hallelujah / The Rivers Of Belief,MCMXC a.D.,"[""Enigma""]",1990,Classical,51,Calm,english,3.0465638856212114
00fBo2XrJAC0nTD0fOlxvT,Backdrops,Let Your Hands Be My Guide,"[""Chantal Acda"", ""Nils Frahm"", ""Peter Broderick"", ""Gyda Valtysdotti"", ""Shahzad Ismaily""]",2013,Classical,0,Calm,english,2.216621285226893
1p3S5vP4dX7q1ouxZoc9Fu,Bad Crumbs,Danse Manatee,"[""Animal Collective""]",2001,Rock,7,Calm,,3.047970735855992
4SnAxz59cBbI3GCTXYTGr4,Bad Nauheim Medley: I'll Take You Home Again Kathleen / I Will Be True / It's Been So Long Darling / Apron Strings / There's No Tomorrow,Platinum - A Life In Music,"[""Elvis Presley""]",1997,Rock,16,Calm,english,1.6438545400862987
17k5FWUNMI1ux47GrME5hS,Bad Things,Pre Millennium Tension,"[""Tricky"", ""Martina Topley-Bird""]",1996,Electronic,19,Calm,english,3.066658683410543
4qaxeVzW69AqS6HHeMZaYC,Bag End,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,"[""Howard Shore""]",2001,Classical,56,Calm,english,1.716004282975221
1Q4oN2cVrGX16AElGnUZHO,Bales (Of Flesh),Longing,"[""Bell Witch""]",2012,Rock,24,Calm,english,2.854832510354534
4AasmNFkl3KTCsOdV65Qti,Bake Sale,If You Can't Fly,"[""David Roth""]",1999,Folk,0,Calm,english,2.258078159973873
5Ru6WUaV3Zn5fjfGO97U7P,Balance Her In Between Your Eyes,Space Is Only Noise,"[""Nicolas Jaar""]",2011,Electronic,0,Calm,english,1.8765619370145548
1V1yoMRbHySOWPFXUwwMie,"Bali Ha'I - From the Musical Production ""South Pacific""",Today & Yesterday,"[""Perry Como""]",1993,Pop,0,Calm,english,2.716812156583599
6C2NvedsvSz4lsOfTceJFb,Balm of Gilead,Balsams,"[""Chuck Johnson""]",2017,Electronic,0,Calm,english,2.973384191690521
1djOLgkg5lUINwsfquQqqI,Balnaa-Kheil the Bleak,Rain Upon the Impure,"[""The Ruins Of Beverast""]",2009,Rock,24,Calm,english,3.03167673794597
113dw8kaFLjjIOSHz63Nib,Baltic Ice: Breaker,White-Out Conditions,"[""bel canto""]",1987,Pop,9,Calm,english,2.4058198983025827
4eZXXMTEnDPldIBmEWQcGM,Balulalow,Boychoir (Music From The Motion Picture),"[""The American Boychoir""]",2015,Classical,15,Calm,english,1.1264454642603037
61jeN03zCngIarQr9KHugD,Banners,Suitcase 3: Up We Go Now,"[""Guided By Voices""]",2009,Pop,1,Calm,english,1.6000700695367294
3ysLhaaz1zXoGW2SuH3Mlf,Barbara Allen,"Joan Baez, Vol. 2","[""Joan Baez""]",2006,Folk,14,Calm,english,2.678120566681858
3cVTB0m0RSQkHJxiFqFkLk,Barcelona,Side by Side by Sondheim (Original London Cast Recording),"[""Julia McKenzie"", ""David Kernan""]",1976,Classical,3,Calm,english,2.3936946947865745
5bl5CW0WwrrxkvYCxfG0Ve,"Barnaby, Hardly Working",Genius + Love = Yo La Tengo,"[""Yo La Tengo""]",1996,Pop,7,Calm,english,2.216545423913692
6QyQRQ39cdIvMMXa7bKo5X,Barreling Towards Nowhere Like There's No Tomorrow,Rivulets,"[""Rivulets""]",2002,Rock,0,Calm,english,1.947959149522268
50FngVxM0HyiD6XwYT0VCA,Barrytown,Sun Mountain,"[""Walter Becker"", ""Donald Fagen""]",2007,Pop,0,Calm,english,1.786747110587761
6iwpuQW0yzcJ8WVIKm5Ybh,Bathroom Quickie,Quickies,"[""The Magnetic Fields""]",2020,Folk,20,Calm,english,1.9533204747301065
00I94fqVKbf0DptCDh21E6,Bavarian Fruit Bread,Bavarian Fruit Bread,"[""Hope Sandoval & The Warm Inventions""]",2001,Pop,31,Calm,english,2.1804510698398203
5aSH85s8cpUSknGvHT6LFn,Bay of Skulls,Admiral Fell Promises,"[""Sun Kil Moon""]",2010,Rock,21,Calm,english,1.1017599460790908
0IfV8vpJxjbh0pxDMDIMq9,Be,Masters of Chant: Chapter III,"[""Gregorian""]",2002,Classical,0,Calm,english,2.998714331266315
0p0ujpOMH6aHPKtY5jLs4l,Be My Light,Camelot (A Starz Original Series),"[""Mychael Danna"", ""Jeff Danna""]",2010,Classical,21,Calm,english,2.363454960340328
3Vp076JUk22B8A6eHcZbwd,Be Quiet And Drive - Far Away,VSQ Performs Deftones,"[""Vitamin String Quartet""]",2006,Classical,8,Calm,english,2.279782966056556
2QjTibXP8OUDGiuApKxwzz,"Be Still, My Tongue",Orbit,"[""Snorri Hallgr\u00edmsson""]",2018,Classical,0,Calm,english,1.1183938685483044
